axis,level,estimator,bias,rmse,mean_se,coverage,identity_max,mean_F,seeds
instrument_strength,h2 0.20,fedmr_cf,-0.0013064097186031404,0.01593914276857357,0.014495390746825572,0.94,1.0547118733938987e-15,35.702545691192405,100
instrument_strength,h2 0.20,site_meta,0.0023448040984431918,0.015192626523248822,0.013966383671354396,0.93,1.0547118733938987e-15,35.702545691192405,100
instrument_strength,h2 0.20,sumstats,0.00202718791938888,0.01511553582119169,0.014765105485410903,0.93,1.0547118733938987e-15,35.702545691192405,100
snps,5,pooled,-0.0003136352080340088,0.018533658990920257,0.019910604651398486,0.98,7.216449660063518e-16,63.41502355209912,100
snps,5,fedmr_cf,-0.0020721178794751906,0.019163959819665732,0.020367117908758135,0.98,7.216449660063518e-16,63.41502355209912,100
snps,5,site_meta,0.00012179330663044441,0.018448640348664547,0.019877789673115022,0.98,7.216449660063518e-16,63.41502355209912,100
snps,5,sumstats,-0.000554939939581963,0.018479118192611277,0.02104386434913181,0.98,7.216449660063518e-16,63.41502355209912,100
snps,20,pooled,0.005140182660902869,0.022247754820658487,0.01941196917181238,0.93,8.326672684688674e-16,16.65492117461544,100
snps,20,fedmr_cf,-0.0012950330615192837,0.023684845704384866,0.02098494265773844,0.94,8.326672684688674e-16,16.65492117461544,100
snps,20,site_meta,0.0055894926038581325,0.02189462573405539,0.01938024064270621,0.92,8.326672684688674e-16,16.65492117461544,100
snps,20,sumstats,0.004981652051671472,0.02175933378675888,0.020486845031706735,0.93,8.326672684688674e-16,16.65492117461544,100
snps,100,pooled,0.02472699108620224,0.030232905937907385,0.017356360377713168,0.72,1.1102230246251565e-15,4.117507400132291,100
snps,100,fedmr_cf,-0.0014143675960938448,0.023873622707736897,0.024336666226009492,0.95,1.1102230246251565e-15,4.117507400132291,100
snps,100,site_meta,0.02471275259353896,0.030094664642996868,0.017328740433015223,0.72,1.1102230246251565e-15,4.117507400132291,100
snps,100,sumstats,0.023926102003690487,0.0298236795865763,0.01819289594706621,0.73,1.1102230246251565e-15,4.117507400132291,100
imbalance,equal,pooled,0.004174129844397587,0.021925059311063776,0.01945162766479008,0.93,4.440892098500626e-16,16.502594854293005,100
imbalance,equal,fedmr_cf,-0.0027972276953218077,0.023886852859658487,0.021038251485431262,0.91,4.440892098500626e-16,16.502594854293005,100
imbalance,equal,site_meta,0.004455193527305192,0.021735660378998524,0.019423134713206933,0.94,4.440892098500626e-16,16.502594854293005,100
imbalance,equal,sumstats,0.004003323008686551,0.02178849954352178,0.020536364505243366,0.94,4.440892098500626e-16,16.502594854293005,100
imbalance,spread,pooled,0.005140182660902869,0.022247754820658487,0.01941196917181238,0.93,8.326672684688674e-16,16.65492117461544,100
imbalance,spread,fedmr_cf,-0.0012950330615192837,0.023684845704384866,0.02098494265773844,0.94,8.326672684688674e-16,16.65492117461544,100
imbalance,spread,site_meta,0.0055894926038581325,0.02189462573405539,0.01938024064270621,0.92,8.326672684688674e-16,16.65492117461544,100
imbalance,spread,sumstats,0.004981652051671472,0.02175933378675888,0.020486845031706735,0.93,8.326672684688674e-16,16.65492117461544,100
imbalance,90/10,pooled,0.0034541592167374063,0.018927986309114048,0.020368246205277,0.96,1.1657341758564144e-15,16.547585548476107,100
imbalance,90/10,fedmr_cf,-0.0046370348347609565,0.021996078891638845,0.022504046567080202,0.94,1.1657341758564144e-15,16.547585548476107,100
imbalance,90/10,site_meta,0.0037121264822501344,0.01871759442718876,0.020374158187474355,0.95,1.1657341758564144e-15,16.547585548476107,100
imbalance,90/10,sumstats,0.002815199207311877,0.01907740680981579,0.02152495046838202,0.98,1.1657341758564144e-15,16.547585548476107,100
allele_frequencies,"shared, same MAF",pooled,0.004088298590307637,0.021797575850928366,0.0199358934305189,0.93,8.881784197001252e-16,154.32203092166674,100
allele_frequencies,"shared, same MAF",fedmr_cf,0.00308377445154244,0.021851047218218705,0.020156943543701927,0.93,8.881784197001252e-16,154.32203092166674,100
allele_frequencies,"shared, same MAF",site_meta,0.010383174606358124,0.023329569463700996,0.019356124592249984,0.88,8.881784197001252e-16,154.32203092166674,100
allele_frequencies,"shared, same MAF",sumstats,0.009539399856332535,0.02315999740892385,0.02048036350156625,0.91,8.881784197001252e-16,154.32203092166674,100
allele_frequencies,"shared, MAF shift 0.5",pooled,0.0022217638296230273,0.02199813948441804,0.020127241121825026,0.91,6.661338147750939e-16,151.17530907137854,100
allele_frequencies,"shared, MAF shift 0.5",fedmr_cf,0.0011372414410417684,0.02221117733839438,0.020353287881752388,0.92,6.661338147750939e-16,151.17530907137854,100
allele_frequencies,"shared, MAF shift 0.5",site_meta,0.008560158137638595,0.02254820389631725,0.019523551816930843,0.9,6.661338147750939e-16,151.17530907137854,100
allele_frequencies,"shared, MAF shift 0.5",sumstats,0.007812838987121692,0.022152337726879492,0.02064155204330311,0.92,6.661338147750939e-16,151.17530907137854,100
allele_frequencies,"shared, MAF shift 1.0",pooled,0.0027140265621284805,0.020896963947838014,0.02080813000420747,0.93,1.6653345369377348e-15,140.9046090054474,100
allele_frequencies,"shared, MAF shift 1.0",fedmr_cf,0.0015728762874477418,0.020981455914167408,0.021062043474091238,0.93,1.6653345369377348e-15,140.9046090054474,100
allele_frequencies,"shared, MAF shift 1.0",site_meta,0.009069844496677441,0.022329758469173656,0.02013795856561394,0.91,1.6653345369377348e-15,140.9046090054474,100
allele_frequencies,"shared, MAF shift 1.0",sumstats,0.008500161059132318,0.022228264654864452,0.021291749907388153,0.92,1.6653345369377348e-15,140.9046090054474,100
effect_heterogeneity,same,pooled,0.005140182660902869,0.022247754820658487,0.01941196917181238,0.93,8.326672684688674e-16,16.65492117461544,100
effect_heterogeneity,same,fedmr_cf,-0.0012950330615192837,0.023684845704384866,0.02098494265773844,0.94,8.326672684688674e-16,16.65492117461544,100
effect_heterogeneity,same,site_meta,0.0055894926038581325,0.02189462573405539,0.01938024064270621,0.92,8.326672684688674e-16,16.65492117461544,100
effect_heterogeneity,same,sumstats,0.004981652051671472,0.02175933378675888,0.020486845031706735,0.93,8.326672684688674e-16,16.65492117461544,100
effect_heterogeneity,theta sd 0.1,pooled,0.005140182660902858,0.022247754820658477,0.01949047480770421,0.93,1.0547118733938987e-15,16.65492117461544,100
effect_heterogeneity,theta sd 0.1,fedmr_cf,-0.0013105284743319312,0.02369649543837163,0.02107015046824699,0.93,1.0547118733938987e-15,16.65492117461544,100
effect_heterogeneity,theta sd 0.1,site_meta,0.005366095973725325,0.02178786986016634,0.01938024064270621,0.93,1.0547118733938987e-15,16.65492117461544,100
effect_heterogeneity,theta sd 0.1,sumstats,-0.00014822841159698675,0.02152036732949422,0.020526329146897945,0.94,1.0547118733938987e-15,16.65492117461544,100
effect_heterogeneity,theta sd 0.2,pooled,0.00514018266090288,0.022247754820658484,0.01972040535237107,0.94,1.27675647831893e-15,16.65492117461544,100
effect_heterogeneity,theta sd 0.2,fedmr_cf,-0.0013260238871445839,0.023796709729220936,0.021319337680526594,0.92,1.27675647831893e-15,16.65492117461544,100
effect_heterogeneity,theta sd 0.2,site_meta,0.005142699343592519,0.021860875582859707,0.01938024064270621,0.94,1.27675647831893e-15,16.65492117461544,100
effect_heterogeneity,theta sd 0.2,sumstats,-0.014196081648685632,0.02862603955471717,0.020656734585054456,0.88,1.27675647831893e-15,16.65492117461544,100
pleiotropy,none,pooled,0.005140182660902869,0.022247754820658487,0.01941196917181238,0.93,8.326672684688674e-16,16.65492117461544,100
pleiotropy,none,fedmr_cf,-0.0012950330615192837,0.023684845704384866,0.02098494265773844,0.94,8.326672684688674e-16,16.65492117461544,100
pleiotropy,none,site_meta,0.0055894926038581325,0.02189462573405539,0.01938024064270621,0.92,8.326672684688674e-16,16.65492117461544,100
pleiotropy,none,sumstats,0.004981652051671472,0.02175933378675888,0.020486845031706735,0.93,8.326672684688674e-16,16.65492117461544,100
pleiotropy,balanced sd 0.02,pooled,0.005857587579434391,0.0272399735547215,0.01943805199594449,0.84,1.1102230246251565e-15,16.65492117461544,100
pleiotropy,balanced sd 0.02,fedmr_cf,-0.0005189387979626126,0.02904887125735696,0.02101328939037474,0.86,1.1102230246251565e-15,16.65492117461544,100
pleiotropy,balanced sd 0.02,site_meta,0.006405198210458916,0.026764330193666787,0.019413966200136513,0.86,1.1102230246251565e-15,16.65492117461544,100
pleiotropy,balanced sd 0.02,sumstats,0.005648536389288108,0.0266584396341845,0.020509906327128152,0.87,1.1102230246251565e-15,16.65492117461544,100
pleiotropy,directional mean 0.02,pooled,0.005901154096187543,0.030750999632449413,0.01946607399668652,0.78,1.1102230246251565e-15,16.65492117461544,100
pleiotropy,directional mean 0.02,fedmr_cf,-0.00048369505999119736,0.03299077075745646,0.021043983659821474,0.81,1.1102230246251565e-15,16.65492117461544,100
pleiotropy,directional mean 0.02,site_meta,0.006506434093476343,0.030131907844915675,0.01945082250171846,0.77,1.1102230246251565e-15,16.65492117461544,100
pleiotropy,directional mean 0.02,sumstats,0.0057139466180460815,0.03016292303974404,0.020532836456164643,0.81,1.1102230246251565e-15,16.65492117461544,100
