site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc
site06,1,local,4503,1126,0.6142892241477966,0.6873889875666075,0.4375,0.0813953488372093,0.1372549019607843,0.5508683756616903
site06,2,global,4503,1126,0.6123275756835938,0.6998223801065719,0.7142857142857143,0.0290697674418604,0.0558659217877094,0.5436046511627907
site06,2,local,4503,1126,0.611636757850647,0.6980461811722913,0.6,0.0348837209302325,0.0659340659340659,0.5496583744721346
site06,3,global,4503,1126,0.6112913489341736,0.6998223801065719,0.6875,0.0319767441860465,0.0611111111111111,0.5468387557247368
site06,3,local,4503,1126,0.6192585229873657,0.6785079928952042,0.4021739130434782,0.1075581395348837,0.1697247706422018,0.5482067447808243
site06,4,global,4503,1126,0.6117201447486877,0.6953818827708703,0.52,0.0377906976744186,0.070460704607046,0.5478424433474097
site06,4,local,4503,1126,0.6114301681518555,0.6980461811722913,0.8333333333333334,0.0145348837209302,0.0285714285714285,0.5488740111818236
site07,0,global,5712,1429,0.6911199688911438,0.6032190342897131,0.2781456953642384,0.1939953810623556,0.2285714285714285,0.4696325718578703
site07,0,local,5712,1429,0.6093934774398804,0.6976906927921623,0.6666666666666666,0.0046189376443418,0.0091743119266055,0.5616553975718115
site07,1,global,5712,1429,0.6090286374092102,0.6962911126662001,0.4,0.0046189376443418,0.0091324200913242,0.5616553975718115
site07,1,local,5712,1429,0.6100859642028809,0.6962911126662001,0.4838709677419355,0.0346420323325635,0.0646551724137931,0.5616646725470009
site07,2,global,5712,1429,0.6094105839729309,0.6962911126662001,0.4736842105263157,0.0207852193995381,0.0398230088495575,0.5616553975718115
site07,2,local,5712,1429,0.6086634397506714,0.6969909027291813,0.5,0.0046189376443418,0.0091533180778032,0.5616298913900406
site07,3,global,5712,1429,0.6093144416809082,0.6969909027291813,0.5,0.023094688221709,0.0441501103752759,0.5608322435237486
site07,3,local,5712,1429,0.6145063042640686,0.6927921623512946,0.4464285714285714,0.0577367205542725,0.1022494887525562,0.5616553975718115
site07,4,global,5712,1429,0.6096926331520081,0.6962911126662001,0.48,0.0277136258660508,0.0524017467248908,0.5617945221996531
site07,4,local,5712,1429,0.6206321120262146,0.6962911126662001,0.4893617021276595,0.0531177829099307,0.0958333333333333,0.5616553975718115
site08,0,global,6523,1631,0.6905822157859802,0.6290619251992643,0.3283582089552239,0.2244897959183673,0.2666666666666666,0.4880296553327729
site08,0,local,6523,1631,0.6016952395439148,0.6989576946658492,0.4285714285714285,0.0061224489795918,0.0120724346076458,0.5787332987533313
site08,1,global,6523,1631,0.6016092896461487,0.69773145309626,0.3846153846153846,0.010204081632653,0.0198807157057654,0.5741812588313152
site08,1,local,6523,1631,0.6017172932624817,0.6983445738810545,0.4736842105263157,0.036734693877551,0.0681818181818181,0.5886234774365487
site08,2,global,6523,1631,0.6014813184738159,0.6995708154506438,0.5,0.0224489795918367,0.04296875,0.574180364520918
site08,2,local,6523,1631,0.6014822721481323,0.7001839362354384,0.5084745762711864,0.0612244897959183,0.1092896174863388,0.578278989071527
site08,3,global,6523,1631,0.6013141870498657,0.700797057020233,0.5384615384615384,0.0285714285714285,0.0542635658914728,0.5774526462644656
site08,3,local,6523,1631,0.6044598817825317,0.6989576946658492,0.4864864864864865,0.036734693877551,0.0683111954459203,0.5801355774562235
site08,4,global,6523,1631,0.6016945838928223,0.6989576946658492,0.4857142857142857,0.0346938775510204,0.0647619047619047,0.5763249208535299
site08,4,local,6523,1631,0.603507936000824,0.69773145309626,0.4823529411764706,0.0836734693877551,0.1426086956521739,0.5786903718542633
site09,0,global,6739,1685,0.6907516121864319,0.6207715133531158,0.3234501347708894,0.2362204724409448,0.273037542662116,0.5039194468788257
site09,0,local,6739,1685,0.6074667572975159,0.6985163204747774,0.0,0.0,0.0,0.5618113581171937
site09,1,global,6739,1685,0.6042566895484924,0.7008902077151336,0.7,0.0137795275590551,0.027027027027027,0.5618138668307923
site09,1,local,6739,1685,0.613244891166687,0.7050445103857567,0.6571428571428571,0.0452755905511811,0.0847145488029466,0.5618130305929261
site09,2,global,6739,1685,0.604210376739502,0.7044510385756677,0.6785714285714286,0.0374015748031496,0.0708955223880597,0.5618138668307923
site09,2,local,6739,1685,0.6044934988021851,0.7008902077151336,0.8333333333333334,0.0098425196850393,0.0194552529182879,0.5482768482529319
site09,3,global,6739,1685,0.6037777066230774,0.7038575667655786,0.6451612903225806,0.0393700787401574,0.0742115027829313,0.5568482863813646
site09,3,local,6739,1685,0.6033428311347961,0.7050445103857567,0.6410256410256411,0.0492125984251968,0.0914076782449725,0.5538737882913318
site09,4,global,6739,1685,0.6038981080055237,0.7044510385756677,0.6190476190476191,0.0511811023622047,0.0945454545454545,0.5576167889803919
site09,4,local,6739,1685,0.6076034307479858,0.7008902077151336,0.8333333333333334,0.0098425196850393,0.0194552529182879,0.5554609677613578
site10,0,global,7504,1876,0.6901668310165405,0.6167377398720683,0.3262411347517731,0.2412587412587412,0.2773869346733668,0.5015873696855292
site10,0,local,7504,1876,0.6016754508018494,0.7046908315565032,0.5608108108108109,0.1451048951048951,0.2305555555555555,0.5863447327212665
site10,1,global,7504,1876,0.6023682951927185,0.6993603411513859,0.75,0.0209790209790209,0.0408163265306122,0.5811147249989275
site10,1,local,7504,1876,0.6026986241340637,0.6998933901918977,0.7368421052631579,0.0244755244755244,0.0473773265651438,0.5811153953408554
site10,2,global,7504,1876,0.6015101075172424,0.7041577825159915,0.7297297297297297,0.0472027972027972,0.0886699507389162,0.5811147249989275
site10,2,local,7504,1876,0.6004909873008728,0.6993603411513859,0.54,0.0944055944055944,0.1607142857142857,0.587578832210734
site10,3,global,7504,1876,0.6008919477462769,0.7046908315565032,0.725,0.0506993006993006,0.0947712418300653,0.5853331867518985
site10,3,local,7504,1876,0.6015390753746033,0.7046908315565032,0.7368421052631579,0.0489510489510489,0.0918032786885245,0.5857005341284482
site10,4,global,7504,1876,0.6009821891784668,0.7052238805970149,0.6938775510204082,0.0594405594405594,0.109500805152979,0.5845924589214466
site10,4,local,7504,1876,0.6007707118988037,0.7046908315565032,0.725,0.0506993006993006,0.0947712418300653,0.5885065854391008
